part_of_week,day_of_week,time_of_day,total_steps,averaage_steps,total_intensities,average_intensities,total_calories,average_calories
Weekday,Monday,Morning,360899,11278,12977,406,88355,2761
Weekday,Monday,Afternoon,359198,11225,13230,413,81141,2536
Weekday,Monday,Evening,158351,4948,5819,182,37844,1183
Weekday,Monday,Night,44234,1382,2627,82,70330,2198
Weekday,Tuesday,Morning,453314,13737,16090,488,111380,3375
Weekday,Tuesday,Afternoon,467667,14172,16915,513,103765,3144
Weekday,Tuesday,Evening,193770,5872,7414,225,48834,1480
Weekday,Tuesday,Night,89681,2718,4375,133,91044,2759
Weekday,Wednesday,Morning,390735,11840,14298,433,105915,3210
Weekday,Wednesday,Afternoon,493339,14950,17427,528,104316,3161
Weekday,Wednesday,Evening,168478,5105,6615,200,45856,1390
Weekday,Wednesday,Night,65322,1979,3368,102,87526,2652
Weekday,Thursday,Morning,424855,12874,15150,459,104330,3162
Weekday,Thursday,Afternoon,401862,12178,14719,446,90649,2747
Weekday,Thursday,Evening,165701,5021,6102,185,40635,1231
Weekday,Thursday,Night,64565,1957,3185,97,82865,2511
Weekday,Friday,Morning,344101,10427,12687,384,91354,2768
Weekday,Friday,Afternoon,358165,10853,13586,412,84634,2565
Weekday,Friday,Evening,161029,5032,6436,201,41305,1291
Weekday,Friday,Night,71386,2163,3534,107,75766,2296
Weekend,Sunday,Morning,298466,9327,11003,344,84132,2629
Weekend,Sunday,Afternoon,356592,11144,13398,419,82952,2592
Weekend,Sunday,Evening,120906,3778,5010,157,36403,1138
Weekend,Sunday,Night,58826,1838,2398,75,69710,2178
Weekend,Saturday,Morning,357050,11158,13381,418,90978,2843
Weekend,Saturday,Afternoon,419990,13125,15205,475,88792,2775
Weekend,Saturday,Evening,159820,4994,5897,184,38855,1214
Weekend,Saturday,Night,67054,2095,3123,98,72484,2265
